Comment,Toxic,Severe Toxic,Obscene,Threat,Insult,Identity Hate
"That kid tried to move in to help out of fear for Floyd, and Thao shoved him back. I'm not surprised it went that way, but I think that kid was brave to step in. They were all trying to save him, but they were ignored.  They're going to bear this for the rest of their lives, and they shouldn't have to.",0.85,0.01,0.16,0.01,0.24,0.03
JUSTICE FOR FLOYD,3.15,0.1,0.83,0.1,1.16,0.28
How would knowing that Floyd had fatal dose  (11 ng/mL ) of fentanyl in his system affect the story?,1.59,0.03,0.35,0.03,0.52,0.09
"Boi, all this for $20?? UNACCEPTABLE!!",3.18,0.1,0.85,0.1,1.19,0.27
"honestly, I think the riots are inspiring.

you can say how much you think they are stupid or not worth riots, I don’t care.",72.37,0.33,24.07,0.14,16.4,0.68
The poor guy I can't imagine how painful that would have been... the officer deserves life in prison or a death sentence wtf,1.6,0.02,0.36,0.02,0.46,0.08
... this has been happening for years!!! You only care now... you never cared if they died by their race but you care now..,5.79,0.11,1.17,0.1,1.55,0.28
I like how the bystander keep bro'ing the people.,7.63,0.63,2.58,0.61,3.33,1.25
That's very sad he cant breath,4.73,0.22,1.38,0.23,1.84,0.54
And go think i wanted to be a police man when I was a kid,2.51,0.07,0.66,0.06,0.93,0.19
You can’t kneel on someone’s neck for 8 minutes and expect him to still be okay. 😒,7.39,0.16,1.89,0.15,2.07,0.47
Blame the system,2.29,0.05,0.55,0.05,0.8,0.16
Instead of listening to what this video is saying go watch the police body cam.,2.15,0.05,0.53,0.05,0.76,0.14
"The video is edited to remove his struggle against the police at the 3:32-3:34 mark, WaPo is garbage.",0.53,0.0,0.09,0.0,0.15,0.02
I would have pushed that cop off of him,5.77,0.25,1.68,0.26,2.01,0.59
"""Crazy how someone lost his life for a 20 dollar bill."" Meanwhile, the FED printed Trillions in a few weeks. Nobody stepped on their neck!
Edited : Okay, so first and foremost I hope those people gonna get what they deserve. That was an abuse of power! 
Second: The FED just as any other central banks are creating money outta thin air. It's not backed by any hard asset or anything whatsoever! 1 Trillion dollars is just 13 keystrokes on a computer, nothing else! This is the FIAT monetary system. By creating additional money supply  they are increasing the amount of money(M1,M2) circulating in the system. By definition this is inflation. If they would stop their won't be inflation or asset price inflation. Like doubling housing prices. Now you have to work 20 years more to buy the same apartment that you could have bought 10 years ago for half the price. Proof of money printing? Go to the Federal Reserve's website. Check their balance sheet. All central banks are doing the same. What I meant to say with this is that is very awkward that people want to defend something what only a selected few individuals can do to the benefit of their shareholders because those dollars are created into existence with interest! So you people have to pay interest on the newly printed dollars to the FED which is a private bank with private owners that actually nobody knows. It is not federal! The main thing is that we are all going to witness a great reset. Debt will never be paid back. Maybe inflated into nothing and we savers are going to suffer from it!",0.36,0.0,0.06,0.0,0.1,0.01
I swear any police who did this who taught you to do that police are not expose to do that policeman are not the best I'm crying😭😭🥺🥺😥😥😥,73.58,0.52,28.26,0.21,18.42,0.96
Why do you just keep talking. I want to listen to the video,4.32,0.2,1.25,0.2,1.7,0.5
He said he couldn't breathe in 8 minus,6.95,0.48,2.26,0.49,2.96,1.04
BLM,8.06,0.65,2.77,0.66,3.52,1.32
I was crying when I heard him saying he couldn’t breathe I want those officers to be on death row,3.07,0.11,0.83,0.1,1.18,0.3
That officer just dosent know how it feels to be choked to death 😓,1.3,0.01,0.26,0.02,0.38,0.06
Charge him for that,2.95,0.09,0.75,0.09,1.07,0.25
Thats unforgivable...,6.04,0.35,1.9,0.37,2.52,0.83
Who ever killed him sue him,9.1,0.78,3.13,0.8,3.86,1.5
"When he said he couldn't breathe you can see the officer who had his knee on his neck push harder too, what a disgusting waste of human",1.96,0.04,0.5,0.04,0.71,0.13
"When i was little i always thought all cops were heros and protects all.
But now i guess i was wrong. Some police officers are cruel and villains...",4.33,0.2,1.3,0.2,1.77,0.48
Why,6.7,0.43,2.15,0.45,2.76,0.94
Start filming every police stop. I definitely will.,4.48,0.19,1.3,0.2,1.75,0.51
Just when he sad plz and stuff was beginning to cry I felt so bad if you all feel bad say in the comment WE ALL LOVE YOU GEORGE FLOYD,96.78,2.06,79.09,0.42,58.9,2.25
"This makes me sick, in no way did he deserve this",4.51,0.19,1.25,0.19,1.69,0.47
😂😂😂😂,8.66,0.75,3.0,0.76,3.78,1.46
staged production,5.11,0.26,1.55,0.27,2.09,0.63
Imagine serving in the army & standing up for the pledge to serve your country as a black dude couldn’t be me,1.24,0.01,0.25,0.01,0.38,0.05
People are starting to find out that the officer and Floyd himself knew each other and they had issues..... that could lead up to his death!!!😡💔,0.34,0.0,0.06,0.0,0.09,0.01
"I don't understand why one of the cops didn't say ""get off his f'n neck""",2.59,0.06,0.66,0.06,0.91,0.19
And why dont you just attach the fu... video at the end?,10.6,0.58,3.39,0.54,3.73,1.2
rip,9.92,0.97,3.57,0.99,4.44,1.82
Is this in Illinois pls tell me,2.95,0.08,0.71,0.08,1.0,0.22
One man can truly change the world. R.I.P George Floyd,98.46,3.88,88.38,0.66,72.8,3.02
Why tf does he keep kneeling on his neck when he says I can’t breathe,5.42,0.28,1.61,0.29,2.15,0.66
Traumatizing video.,4.92,0.24,1.48,0.25,1.97,0.6
Who is even sick enough to record this bro,1.37,0.02,0.29,0.02,0.44,0.07
Rest In Peace,2.98,0.09,0.77,0.09,1.1,0.25
"So this mean, like a movie making not real, thanks for your share",2.21,0.05,0.53,0.05,0.74,0.15
This year keeps going down hill,11.65,0.12,2.03,0.09,2.43,0.29
That cop should serve life in GP level 4.,2.74,0.07,0.69,0.08,0.99,0.22
To be honest the shop keeper called them if he just walked away nothing would of happened 😫😫😫😫😫😫😫😭😭😭😭,2.49,0.06,0.62,0.06,0.87,0.19
"That's the back not the front of the neck, how tf did he suffocate from that i call bs that it was from the knee",4.17,0.13,1.12,0.13,1.39,0.35
"Think about how George's death. People were there recording to make awareness, for that's all they could do. What about the people that just walked past? They did nothing, yet they could of had something to have George still here today. What if that was you, except nobody recorded it. Nothing would happen but you would die. George Flyod wasn't the only one that died from this. There could be hundreds of people that died like this, and nobody saw....",1.02,0.0,0.1,0.0,0.14,0.0
Third degree and manslaughter. What a sick joke,2.71,0.07,0.69,0.08,0.99,0.23
they gon get beat tf up in jail if they say what they were in for 😂 thats what they get,1.1,0.01,0.23,0.01,0.36,0.05
Big oof,9.39,0.85,3.29,0.87,4.09,1.62
Rip,9.37,0.87,3.32,0.89,4.15,1.66
Guys relax. Corrupt cops always edit their camera footage before public release. Standard procedure,1.12,0.01,0.22,0.01,0.34,0.05
"i'm from italy and i just see this video. I don't have words to express my pain, looking at a man suffering and dying in the total absence of humanity. Is this a policeman or a nazi? we had fascism in italy who taught us that crime can be committed also by officers. Fight for your future and don't turn your heads away from civil rights.",4.92,0.03,0.88,0.03,1.01,0.12
Is this that rapper Fentyl Cents?,3.76,0.12,0.94,0.12,1.28,0.31
And when the police call Simpsons the police said where's the fire and Simpsons said in the police station is in fire,0.58,0.0,0.1,0.0,0.18,0.02
So where is the officers' body cam footage?,2.41,0.06,0.57,0.06,0.83,0.17
Even the CIA cant make a detailed report like that,0.81,0.01,0.15,0.01,0.25,0.03
that little police man..no not even a man. He is a monster. When someone is unconscious and they say “I cannot breathe” YOU. DO. NOT. KEEP. CHOKING. THEM. PERIODT.,3.64,0.09,0.87,0.09,1.24,0.29
"im crying, why. Just. Why??",1.68,0.03,0.37,0.03,0.55,0.09
Why,6.7,0.43,2.15,0.45,2.76,0.94
There was no way anyone could intervene because Two Tao was guarding,0.52,0.0,0.09,0.0,0.14,0.02
Body cam. It shows otherwise!,4.69,0.23,1.44,0.23,1.86,0.55
What’s the point of these police officers having cameras if they block all the images in their favor?!,1.18,0.01,0.23,0.01,0.36,0.05
"Seriously?! Multiple cops for one guy??? He didnt have weapons, and he was handcuffed, what kind of danger is he gonna inflict that requires three armed men????",1.51,0.02,0.34,0.02,0.51,0.09
God have mercy on us,8.92,0.79,3.09,0.8,3.92,1.55
who killed George Floyd,3.73,0.15,1.06,0.15,1.48,0.41
I almost died yesterday due to asthma.,6.56,0.46,2.13,0.45,2.82,0.99
He literally screamed please I can't breathe. Like What could be going through your mind?,2.37,0.05,0.59,0.05,0.81,0.17
How heartless and vile do you have to be to ignore a man crying out in pain for his mother?,16.7,0.7,5.21,0.62,5.15,1.25
Comedy gold,56.21,2.64,19.41,1.94,18.38,4.3
Iam from Germay and i Hope america pain For this pain for all Us,2.15,0.05,0.52,0.04,0.75,0.13
"I just can't believe what happened 
.. no one deserve this .. only the police officer but no one else",48.85,0.81,14.48,0.55,12.4,1.8
This is so sickening and the fact that that's a POLICE OFFICER who killed him.,5.92,0.24,1.58,0.24,1.99,0.53
Ppl tell them to get off him and then he died full respect,14.83,1.03,4.84,1.01,5.45,2.0
This was COVID-19 in FULL EFFECT sooooo WHY NOT ONE MASK in the entire footage until ONLY TWO so called paramedics in FULL BODY ARMOR show up.,2.01,0.04,0.46,0.04,0.66,0.13
He was resisting getting in the vehicle.,2.45,0.07,0.62,0.06,0.91,0.2
You had one job,6.05,0.36,1.9,0.37,2.44,0.76
"“Please, please, please
Please man, I can’t breath”

This had me heartbroken, sad and mad at the same time. 🥺💔",0.25,0.0,0.03,0.0,0.06,0.0
If i see another all lives matter comment I swear-,1.26,0.02,0.26,0.02,0.4,0.06
It’s just annoying that bots are saying wow great vid man keep up the good news,0.61,0.0,0.11,0.0,0.19,0.02
What has the world become 😭😭😭😭,4.12,0.17,1.16,0.17,1.57,0.44
WTF You know what you do Man they should a Rest You,4.87,0.18,1.31,0.19,1.75,0.47
They knew he couldn't breathe so y did they keep on choking him WTF,4.55,0.21,1.32,0.21,1.79,0.54
"This looks intentional. I think these cops are crooked and were ordered/paid to do this, to start a race war.",2.16,0.04,0.49,0.04,0.72,0.14
I almost cried at this 😢😢😢😢😢😢😢,3.2,0.11,0.87,0.11,1.21,0.29
They didn't even do anything,5.13,0.27,1.54,0.27,2.07,0.64
I hope he lost his job,3.83,0.16,1.1,0.16,1.52,0.41
Dude he was calling. His mom but police just kept stepping his neck that’s just messed up,2.43,0.06,0.61,0.06,0.87,0.19
Justice,8.47,0.71,2.92,0.72,3.68,1.4
This is inhuman.,3.34,0.1,0.85,0.1,1.18,0.27
✊🏿 black lives matters 😭,3.4,0.13,0.97,0.13,1.35,0.37
You know how many hypochondriacs yell I can't breathe whenever the smallest amount of force is put on them?,4.04,0.17,1.15,0.15,1.54,0.39
This man was litteraly begging for his life and the officer kept his knee on his neck.... that's messed up man,0.43,0.0,0.07,0.0,0.12,0.01
R.i.p gf,96.99,6.01,76.63,2.4,62.44,6.84
at least half of the comments say WTF so im gonna add on,1.66,0.03,0.37,0.03,0.57,0.1
I know there are some good cops out there but my whole life i have always hated cops and have never been able to respect them. I have served time in the military and can tell you that the training cops get is a joke they have no idea how to handle many situations. I try hard not to have any hate inside me but i cant help but to look at a cop and feel this way. Police officers are trained so poorly that if i was in need of help at my home the last thing i would do is call a police officer. Most likely the cop would get to my house and probably end up killing me on accident or on purpose. Watching this video infuriated me so much. I honestly feel there are much more bad cops than there are good ones and the good cops have to fall in line with the corrupt officers or they lose their job or worse get killed for trying to be a honest cop.,0.96,0.01,0.16,0.0,0.25,0.02
Has this lady Frazier been questioned,2.43,0.04,0.53,0.04,0.73,0.13
""" To Protect and Serve ""  …… yeah right .",3.41,0.12,0.94,0.12,1.31,0.34
"After watching this video, I was unable to stop crying. He was struggling for breath and was also saying "" mother please save me"" . I just can't stop myself from Crying, that's the thing that everyone should understand before beating someone that what the person,s  mother would feel, when she watch this happening with his child. may his soul find peace.",0.8,0.0,0.16,0.0,0.2,0.02
I wish he got fired for this edit: YES he got fired!!,3.58,0.13,0.99,0.13,1.36,0.33
It’s shows him having hair and when he’s on the ground no hair and weres his tattoos I don’t see them,3.89,0.15,1.1,0.15,1.48,0.4
😫👀👤,8.66,0.75,3.0,0.76,3.78,1.46
"""Please,please,please,I can't breathe.Please, man."" and they still have the guts to ignore him.",0.07,0.0,0.01,0.0,0.01,0.0
Tragity🙏respect for gorge floyed,4.22,0.17,1.19,0.17,1.64,0.45
So much for the police to protect 😑😡😭😔R.I.P George Floyed,0.68,0.0,0.12,0.0,0.19,0.02
It happened before ..... Tony Timpa 2016 Dallas,7.34,0.31,1.94,0.3,2.47,0.69
Why was no one wearing masks if this happened during the Covid19 period?,1.17,0.01,0.24,0.01,0.38,0.05
This  cop was  thinking that no one will care if he dies.   In my eyes he is just a killer,2.98,0.09,0.75,0.09,1.06,0.24
I dont recognize police violence !,4.38,0.22,1.34,0.22,1.84,0.55
Holy......,5.03,0.24,1.49,0.25,1.99,0.59
This vid doesn’t match the other videos.,2.3,0.05,0.56,0.05,0.8,0.17
L' AMÉRIQUE donne une très mauvaise image de leur pays dans le monde.,5.35,0.31,1.7,0.31,2.25,0.73
He didnt lift of his knee so the police could say he died in the ambulance,0.8,0.01,0.16,0.01,0.25,0.03
...,8.66,0.75,3.0,0.76,3.78,1.46
this world is catastrophic!,6.21,0.35,1.88,0.36,2.44,0.77
The eye should learn to listen before it looks.,4.11,0.16,1.14,0.17,1.55,0.43
WE ARE ALL A FAMILY,6.57,0.4,2.05,0.42,2.66,0.89
Their bodies will be torn to shreds when they get into jail.,6.37,0.43,2.05,0.42,2.69,0.92
"does anyone besides me noticed that no one in the video of George Floyd supposedly being killed is wearing a mask?
This video was filmed before the covid-19 epidemic.
We have all been scammed.",0.37,0.0,0.06,0.0,0.1,0.01
5000 dislikes? more like 5000 corrupt officials!,3.09,0.1,0.82,0.1,1.18,0.29
Bs,6.19,0.38,1.98,0.39,2.58,0.87
Why has know one interviewed Darnela Fraizer or any of his two passengers? From day one i said it wasn't real...,1.04,0.01,0.2,0.01,0.31,0.04
"When someone start to call his momma, you know he is about to die",16.27,0.24,3.69,0.18,3.86,0.53
Those cops should go to jail for like 100 years. My heart is broken and I’m white,7.31,0.55,2.47,0.54,3.11,1.07
Liar! I got the real video,4.77,0.24,1.43,0.24,1.96,0.63
FREE DERECK CHAUVIN!!!!,6.44,0.4,2.06,0.42,2.69,0.9
I hope they protested cup foods.,3.07,0.1,0.85,0.1,1.2,0.3
"I like how objectively this was narrated, thank you",6.76,0.48,2.24,0.47,2.91,1.05
I CANT BELIEVE THE COP KILLED HIM,1.74,0.03,0.41,0.03,0.61,0.11
I think they knew what most dont. Karma dont care.,5.33,0.29,1.61,0.28,2.13,0.68
Killers,7.4,0.55,2.49,0.57,3.2,1.18
The worst part of that video is that I saw that cop wiggle his knee further in to his neck as soon as he was saying he can’t breath.,0.15,0.0,0.02,0.0,0.03,0.0
This is insane. How can they do this? I shouldn’t have watched this at 1 am. Now I am too angry to sleep.,1.9,0.03,0.42,0.03,0.61,0.11
Ok,4.74,0.2,1.34,0.21,1.8,0.51
The principles of the universe is what goes around comes around! Take it from a guy whose been around .,3.28,0.1,0.85,0.1,1.19,0.29
The camera says 8:21pm but the video says 7:55pm. Something seems off...,2.73,0.05,0.63,0.05,0.83,0.16
Pee pee poo poo,4.06,0.17,1.15,0.17,1.57,0.43
I can’t breathe seeing what these policemen did.,2.83,0.08,0.76,0.08,1.07,0.24
Why did the police call the fire department when the ambulance was already there?,1.32,0.02,0.28,0.02,0.43,0.07
Holy I say Floyd’s brother or cousin or something should do what Chauven did to Floyd BLACK LIVES MATTER,4.39,0.09,1.01,0.09,1.21,0.27
